Sl no.,AX ID,Workshop Names,Location,Country,Agent,Corporate Type
1,AX1779430292280,7TH GEAR AUTOMOTIVE LLP,Hyderabad,India,Kavya,General
2,AX1751006868078,SREE MANIKANTA SERVICE STATION,Hyderabad.,India,Kavya,General
3,AX1763969113292,R S MOTORS,Secunderabad,India,Kavya,General
4,AX1759822908782,S.K MOTORS,HYDERABAD,India,Kavya,General
5,AX1760678915082,GARUDA MOTORS,Secunderabad,India,Kavya,General
6,AX1760424157587,GLOBAL AUTOMOTIVE,HYDERABAD,India,Kavya,General
7,AX1758004357991,SHRADDHA MOTORS,HYDERABAD,India,Kavya,General
8,AX1753074615503,SMART CARE,HYDERABAD,India,Kavya,General
9,AX1769239844166,VIJAY DURGA MOTORS,Hyderabad,India,Sashikala,General
10,AX1752125490644,TOP GEAR MOTORS,Hyderabad.,India,Sashikala,General
11,AX1765607816950,TAKSH AUTOMOTIVES,Bengaluru,India,Basava,General
12,AX1771313569510,SRI SAI AUTO CRAFTS,Hyderabad,India,Sashikala,General
13,AX1766385617140,ARUN MOTORS,Hyderabad,India,Sashikala,General
14,AX1767933509911,CHEQUERED FLAG AUTO LLP,HYDERABAD,India,Sashikala,General
15,AX1761567212774,SVR MOTORS,Hyderabad,India,Sashikala,General
16,AX1753173594142,SABOO MOTORS PRIVATE LIMITED,Hyderabad,India,Sashikala,General
17,AX1777962908063,STAR MULTI CAR CARE,"Nellore,",India,Kavya,General
18,AX1772444765697,YES MOTOR,Bangalore,India,basava,BOSCH
19,AX1762334150260,SRI SRINIVASA AUTO GARAGE,Kurnool,India,Kavya,General
20,AX1761543300524,RE-TOUCH CAR SERVICES,Nalgonda,India,Sashikala,General
21,AX1770008881999,GODAVARI AUTO SCANNERS,Rajahmundry,India,Kavya,General
22,AX1759926882485,SRI BHAVANI CAR CARE,Shadnagar,India,Sashikala,General
23,AX1776760876949,CAR MAKERS,JAIPUR,India,Danya,General
24,AX1758632335881,DEV AUTOMOTIVES,Jaipur,India,Danya,General
25,AX1765802812600,PUTHOORANS CAR CARE,Kunchithanni Palam Junction.,India,Unnimaya,General
